Unnamed: 0,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
1,Oscorp Corp 1,oscorpcorp1.com,1966,Tech,11-50,"Gotham, NY, UK",UK,https://linkedin.com/company/oscorpcorp1,5904,6249
2,Hooli Corp 2,hoolicorp2.com,1973,Tech,201-500,"Raccoon City, State, UK",UK,https://linkedin.com/company/hoolicorp2,547,595
3,Hooli Corp 3,hoolicorp3.com,1998,Engineering,1001-5000,"Los Angeles, NY, UK",UK,https://linkedin.com/company/hoolicorp3,4903,5353
4,Stark Corp 4,starkcorp4.com,1981,Technology,1001-5000,"Gotham, State, UK",UK,https://linkedin.com/company/starkcorp4,1904,2079
5,Wayne Corp 5,waynecorp5.com,1962,Industrial,11-50,"New York, NY, USA",USA,https://linkedin.com/company/waynecorp5,9453,9539
6,Hooli Corp 6,hoolicorp6.com,1960,Industrial,1001-5000,"London, NY, USA",USA,https://linkedin.com/company/hoolicorp6,4912,5405
7,Stark Corp 7,starkcorp7.com,2013,Finance,1001-5000,"Los Angeles, State, USA",USA,https://linkedin.com/company/starkcorp7,7404,7868
8,Hooli Corp 8,hoolicorp8.com,1974,Technology,51-200,"Raccoon City, England, UK",UK,https://linkedin.com/company/hoolicorp8,8042,8390
9,Acme Corp 9,acmecorp9.com,2009,Software,5001-10000,"Raccoon City, State, UK",UK,https://linkedin.com/company/acmecorp9,4704,5010
10,Hooli Corp 10,hoolicorp10.com,2008,Biotech,5001-10000,"Palo Alto, CA, UK",UK,https://linkedin.com/company/hoolicorp10,2026,2119
11,Stark Corp 11,starkcorp11.com,2000,Tech,501-1000,"Palo Alto, NY, UK",UK,https://linkedin.com/company/starkcorp11,2782,3108
12,Oscorp Corp 12,oscorpcorp12.com,1979,Pharma,11-50,"Palo Alto, CA, UK",UK,https://linkedin.com/company/oscorpcorp12,3635,4053
13,Globex Corp 13,globexcorp13.com,1996,Industrial,5001-10000,"Los Angeles, State, USA",USA,https://linkedin.com/company/globexcorp13,37,535
14,Wonka Corp 14,wonkacorp14.com,1982,Industrial,201-500,"Los Angeles, State, UK",UK,https://linkedin.com/company/wonkacorp14,5180,5502
15,Initech Corp 15,initechcorp15.com,2000,Chemicals,201-500,"Los Angeles, England, UK",UK,https://linkedin.com/company/initechcorp15,1610,2108
16,Umbrella Corp 16,umbrellacorp16.com,1992,Biotech,201-500,"Raccoon City, State, USA",USA,https://linkedin.com/company/umbrellacorp16,2578,2892
17,Wayne Corp 17,waynecorp17.com,1989,Tech,5001-10000,"London, NY, UK",UK,https://linkedin.com/company/waynecorp17,4192,4653
18,Wonka Corp 18,wonkacorp18.com,1989,Chemicals,1001-5000,"London, State, UK",UK,https://linkedin.com/company/wonkacorp18,4117,4402
19,Stark Corp 19,starkcorp19.com,1962,Technology,5001-10000,"Raccoon City, NY, USA",USA,https://linkedin.com/company/starkcorp19,3975,4012
20,Umbrella Corp 20,umbrellacorp20.com,1973,Industrial,5001-10000,"London, NY, UK",UK,https://linkedin.com/company/umbrellacorp20,9468,9869
21,Umbrella Corp 21,umbrellacorp21.com,2011,Food & Beverage,11-50,"Gotham, NY, UK",UK,https://linkedin.com/company/umbrellacorp21,8169,8536
22,Globex Corp 22,globexcorp22.com,1978,Pharma,51-200,"Raccoon City, England, USA",USA,https://linkedin.com/company/globexcorp22,5118,5548
23,Globex Corp 23,globexcorp23.com,1978,Finance,501-1000,"Los Angeles, State, USA",USA,https://linkedin.com/company/globexcorp23,6357,6675
24,Oscorp Corp 24,oscorpcorp24.com,2000,Pharma,11-50,"London, England, UK",UK,https://linkedin.com/company/oscorpcorp24,3439,3549
25,Acme Corp 25,acmecorp25.com,2021,Chemicals,1001-5000,"Los Angeles, State, UK",UK,https://linkedin.com/company/acmecorp25,1570,1932
26,Umbrella Corp 26,umbrellacorp26.com,1961,Chemicals,5001-10000,"San Francisco, State, USA",USA,https://linkedin.com/company/umbrellacorp26,9058,9309
27,Wayne Corp 27,waynecorp27.com,1971,Tech,501-1000,"San Francisco, CA, USA",USA,https://linkedin.com/company/waynecorp27,4844,5223
28,Stark Corp 28,starkcorp28.com,2018,Tech,201-500,"London, CA, USA",USA,https://linkedin.com/company/starkcorp28,2333,2452
29,Tyrell Corp 29,tyrellcorp29.com,1999,Technology,5001-10000,"Palo Alto, State, UK",UK,https://linkedin.com/company/tyrellcorp29,5315,5423
30,Oscorp Corp 30,oscorpcorp30.com,1969,Engineering,11-50,"London, NY, USA",USA,https://linkedin.com/company/oscorpcorp30,4490,4785
31,Umbrella Corp 31,umbrellacorp31.com,1990,Biotech,501-1000,"Palo Alto, England, USA",USA,https://linkedin.com/company/umbrellacorp31,4887,5238
32,Hooli Corp 32,hoolicorp32.com,2016,Pharma,51-200,"Gotham, State, USA",USA,https://linkedin.com/company/hoolicorp32,1502,1648
33,Wonka Corp 33,wonkacorp33.com,1981,Tech,11-50,"Palo Alto, State, UK",UK,https://linkedin.com/company/wonkacorp33,9745,9749
34,Wonka Corp 34,wonkacorp34.com,1979,Engineering,1001-5000,"Palo Alto, England, USA",USA,https://linkedin.com/company/wonkacorp34,3268,3635
35,Oscorp Corp 35,oscorpcorp35.com,1988,Biotech,11-50,"Palo Alto, State, USA",USA,https://linkedin.com/company/oscorpcorp35,5700,5771
36,Stark Corp 36,starkcorp36.com,1987,Chemicals,1001-5000,"London, NY, UK",UK,https://linkedin.com/company/starkcorp36,417,810
37,Wayne Corp 37,waynecorp37.com,1965,Software,501-1000,"New York, NY, UK",UK,https://linkedin.com/company/waynecorp37,1605,1896
38,Stark Corp 38,starkcorp38.com,2016,Industrial,1001-5000,"New York, State, USA",USA,https://linkedin.com/company/starkcorp38,5852,5901
39,Globex Corp 39,globexcorp39.com,1987,Industrial,5001-10000,"Gotham, CA, USA",USA,https://linkedin.com/company/globexcorp39,6692,6864
40,Wonka Corp 40,wonkacorp40.com,1976,Biotech,51-200,"San Francisco, England, UK",UK,https://linkedin.com/company/wonkacorp40,5764,6056
41,Hooli Corp 41,hoolicorp41.com,1960,Tech,11-50,"New York, State, USA",USA,https://linkedin.com/company/hoolicorp41,1735,1952
42,Wayne Corp 42,waynecorp42.com,1988,Chemicals,11-50,"Palo Alto, England, USA",USA,https://linkedin.com/company/waynecorp42,7172,7226
43,Hooli Corp 43,hoolicorp43.com,1970,Technology,201-500,"Palo Alto, England, UK",UK,https://linkedin.com/company/hoolicorp43,5062,5440
44,Hooli Corp 44,hoolicorp44.com,2002,Tech,201-500,"Raccoon City, CA, UK",UK,https://linkedin.com/company/hoolicorp44,2295,2508
45,Wayne Corp 45,waynecorp45.com,1993,Food & Beverage,201-500,"Los Angeles, England, USA",USA,https://linkedin.com/company/waynecorp45,9682,9897
46,Wayne Corp 46,waynecorp46.com,1995,Biotech,11-50,"New York, CA, UK",UK,https://linkedin.com/company/waynecorp46,6143,6408
47,Acme Corp 47,acmecorp47.com,2004,Tech,1001-5000,"New York, England, USA",USA,https://linkedin.com/company/acmecorp47,3234,3589
48,Umbrella Corp 48,umbrellacorp48.com,2004,Technology,5001-10000,"San Francisco, NY, USA",USA,https://linkedin.com/company/umbrellacorp48,1623,1938
49,Initech Corp 49,initechcorp49.com,1983,Tech,1001-5000,"New York, CA, UK",UK,https://linkedin.com/company/initechcorp49,3832,4123
50,Wonka Corp 50,wonkacorp50.com,1979,Chemicals,11-50,"London, State, USA",USA,https://linkedin.com/company/wonkacorp50,1140,1585
51,Oscorp Corp 51,oscorpcorp51.com,1971,Industrial,51-200,"London, State, USA",USA,https://linkedin.com/company/oscorpcorp51,1595,1776
52,Wonka Corp 52,wonkacorp52.com,1989,Food & Beverage,1001-5000,"London, England, USA",USA,https://linkedin.com/company/wonkacorp52,6746,6844
